CRUISEID,YR,SOURCE,VESSEL,CRUISE_NO,STARTCRU,ENDCRU,TITLE,NOTE
1,1982,US,4,125,2/24/1982,3/31/1982,Spring Groundfish Survey,0
2,1982,US,4,126,4/15/1982,5/25/1982,Spring SEAMAP Plankton Survey,0
3,1982,FL,9,821,5/16/1982,5/16/1982,Spring SEAMAP Plankton Survey,0
4,1982,LA,25,821,6/1/1982,7/13/1982,Spring SEAMAP Plankton Survey,0
5,1982,US,4,127,6/1/1982,7/14/1982,Summer SEAMAP Groundfish Survey,0
6,1982,MS,17,821,6/6/1982,6/10/1982,Summer SEAMAP Groundfish Survey,0
7,1982,AL,23,821,6/8/1982,6/3/1982,Summer SEAMAP Groundfish Survey,0
8,1982,FL,9,822,6/8/1982,6/13/1982,Spring SEAMAP Plankton Survey,0
9,1982,US,20,823,6/16/1982,7/6/1982,Summer Groundfish Survey,0
10,1982,FL,9,823,6/20/1982,6/22/1982,Spring SEAMAP Plankton Survey,0
11,1982,TX,16,823,6/23/1982,6/26/1982,Summer SEAMAP Groundfish Survey,0
12,1982,TX,16,824,6/30/1982,7/1/1982,Summer SEAMAP Groundfish Survey,0
13,1982,TX,24,825,7/9/1982,7/13/1982,Summer SEAMAP Groundfish Survey,0
14,1983,US,4,133,3/8/1983,4/13/1983,Spring Groundfish Survey,0
15,1983,US,4,134,4/22/1983,5/23/1983,Spring SEAMAP Plankton Survey,0
16,1983,US,4,135,6/1/1983,6/16/1983,Summer SEAMAP Groundfish Survey,0
17,1983,MS,17,831,6/7/1983,6/14/1983,Summer SEAMAP Groundfish Survey,0
18,1983,AL,23,831,6/9/1983,7/2/1983,Summer SEAMAP Groundfish Survey,0
19,1983,LA,25,831,6/13/1983,6/16/1983,Summer SEAMAP Groundfish Survey,0
20,1983,FL,26,831,6/15/1983,7/5/1983,Spring SEAMAP Plankton Survey,0
21,1983,TX,16,831,6/21/1983,6/22/1983,Summer SEAMAP Groundfish Survey,0
22,1983,LA,25,832,6/21/1983,6/23/1983,Summer SEAMAP Groundfish Survey,0
23,1983,FL,9,831,6/26/1983,6/29/1983,Spring SEAMAP Plankton Survey,0
24,1983,TX,16,832,6/29/1983,7/1/1983,Summer SEAMAP Groundfish Survey,0
25,1983,LA,25,833,7/5/1983,7/5/1983,Spring SEAMAP Plankton Survey,0
26,1983,TX,16,833,7/6/1983,7/11/1983,Summer SEAMAP Groundfish Survey,0
27,1983,FL,9,832,7/12/1983,7/14/1983,Fall SEAMAP Plankton Survey,0
28,1983,US,4,138,10/12/1983,11/14/1983,Fall Groundfish Survey,0
29,1983,LA,25,834,10/17/1983,11/17/1983,Fall SEAMAP Plankton Survey,0
30,1983,MS,17,832,10/18/1983,10/18/1983,Fall SEAMAP Plankton Survey,0
31,1983,US,4,140,12/8/1983,12/21/1983,Winter SEAMAP Plankton Survey,0
32,1984,US,4,142,3/8/1984,4/11/1984,Spring Groundfish/Plankton Survey,0
33,1984,US,4,143,4/21/1984,5/22/1984,Spring SEAMAP Plankton Survey,0
34,1984,LA,25,841,6/5/1984,6/20/1984,Summer SEAMAP Groundfish Survey,0
35,1984,US,4,145,6/6/1984,6/6/1984,Summer SEAMAP Groundfish Survey,0
36,1984,AL,23,841,6/6/1984,7/25/1984,Summer SEAMAP Groundfish Survey,0
37,1984,MS,17,841,6/8/1984,7/27/1984,Summer SEAMAP Groundfish Survey,0
38,1984,LA,25,842,7/9/1984,7/24/1984,Summer SEAMAP Groundfish Survey,0
39,1984,US,4,146,8/2/1984,8/27/1984,Fall SEAMAP Plankton Survey,0
40,1984,LA,25,843,8/14/1984,10/24/1984,Fall SEAMAP Plankton Survey,0
41,1984,FL,30,841,8/25/1984,8/29/1984,Fall SEAMAP Plankton Survey,0
42,1984,US,4,148,10/9/1984,11/14/1984,Fall Groundfish Survey,0
43,1984,LA,25,844,10/31/1984,11/28/1984,Fall SEAMAP Plankton Survey,0
44,1984,MS,17,842,11/7/1984,11/8/1984,Winter SEAMAP Plankton Survey,0
45,1984,US,4,149,12/1/1984,12/17/1984,Winter SEAMAP Plankton Survey,0
46,1985,US,4,151,3/5/1985,3/28/1985,Spring Groundfish Survey,0
47,1985,FL,30,851,6/5/1985,6/14/1985,Spring SEAMAP Plankton Survey,0
48,1985,US,4,153,6/10/1985,6/10/1985,Summer SEAMAP Groundfish Survey,0
49,1985,LA,25,851,6/10/1985,6/26/1985,Summer SEAMAP Groundfish Survey,0
50,1985,AL,23,851,6/10/1985,7/15/1985,Summer SEAMAP Groundfish Survey,0
51,1985,MS,17,851,6/10/1985,6/12/1985,Summer SEAMAP Groundfish Survey,0
52,1985,TX,32,851,6/15/1985,6/26/1985,Summer SEAMAP Groundfish Survey,0
53,1985,LA,35,852,6/18/1985,6/21/1985,Summer SEAMAP Groundfish Survey,0
54,1985,TX,31,851,6/26/1985,6/29/1985,Summer SEAMAP Groundfish Survey,0
55,1985,TX,33,851,6/29/1985,7/1/1985,Summer SEAMAP Groundfish Survey,0
56,1985,LA,35,853,7/22/1985,7/25/1985,Summer SEAMAP Groundfish Survey,0
57,1985,US,4,154,7/30/1985,8/26/1985,SEAMAP Butterfish Survey,0
58,1985,MS,17,852,8/2/1985,8/13/1985,SEAMAP Butterfish Survey,0
59,1985,MS,17,854,8/22/1985,8/24/1985,Summer SEAMAP Groundfish Survey,0
60,1985,LA,35,854,9/16/1985,10/4/1985,Fall Groundfish Survey,0
61,1985,US,4,156,10/15/1985,10/15/1985,Fall Groundfish Survey,0
62,1985,AL,23,852,10/15/1985,10/15/1985,Fall Groundfish Survey,0
63,1985,LA,25,855,11/5/1985,11/7/1985,Winter SEAMAP Plankton Survey,0
64,1985,MS,17,853,11/12/1985,11/14/1985,Fall Groundfish Survey,0
65,1985,TX,34,852,11/16/1985,11/17/1985,Fall Groundfish Survey,0
66,1985,TX,32,852,11/18/1985,11/19/1985,Fall Groundfish Survey,0
67,1985,TX,31,852,11/21/1985,11/21/1985,Fall Groundfish Survey,0
68,1985,TX,33,852,11/22/1985,11/22/1985,Fall Groundfish Survey,0
69,1985,LA,35,856,12/3/1985,12/13/1985,Winter SEAMAP Trawl Survey,0
70,1986,US,4,159,4/22/1986,5/22/1986,Spring SEAMAP Plankton Survey,0
71,1986,FL,54,861,5/4/1986,5/6/1986,Spring SEAMAP Plankton Survey,0
72,1986,LA,35,861,5/5/1986,5/8/1986,Spring SEAMAP Trawl Survey,0
73,1986,MS,17,861,5/13/1986,5/30/1986,SEAMAP Butterfish Survey,0
74,1986,MS,17,862,6/10/1986,6/12/1986,Summer SEAMAP Groundfish Survey,0
75,1986,AL,23,861,6/10/1986,7/17/1986,Summer SEAMAP Groundfish Survey,0
76,1986,US,4,160,6/10/1986,7/18/1986,Summer SEAMAP Groundfish Survey,0
77,1986,LA,25,862,6/11/1986,6/19/1986,Summer SEAMAP Groundfish Survey,0
78,1986,LA,35,863,6/16/1986,6/19/1986,Summer SEAMAP Groundfish Survey,0
79,1986,TX,33,861,6/22/1986,6/23/1986,Summer SEAMAP Groundfish Survey,0
80,1986,TX,31,861,6/23/1986,6/24/1986,Summer SEAMAP Groundfish Survey,0
81,1986,TX,34,861,6/23/1986,6/25/1986,Summer SEAMAP Groundfish Survey,0
82,1986,TX,32,861,6/23/1986,6/24/1986,Summer SEAMAP Groundfish Survey,0
83,1986,MS,17,863,7/15/1986,7/18/1986,Summer SEAMAP Groundfish Survey,0
84,1986,US,4,161,9/3/1986,9/26/1986,Fall SEAMAP Plankton Survey,0
85,1986,FL,36,862,9/6/1986,9/13/1986,Fall SEAMAP Plankton Survey,0
86,1986,MS,17,864,9/8/1986,9/10/1986,Fall SEAMAP Plankton Survey,0
87,1986,US,28,865,9/13/1986,9/22/1986,Fall SEAMAP Plankton Survey,0
88,1986,AL,23,862,9/22/1986,9/18/1986,Fall SEAMAP Plankton Survey,0
89,1986,US,4,163,10/23/1986,11/23/1986,Fall SEAMAP Groundfish Survey,0
90,1986,LA,35,864,10/27/1986,10/30/1986,Fall SEAMAP Groundfish Survey,0
91,1986,AL,23,863,10/28/1986,10/28/1986,Fall SEAMAP Groundfish Survey,0
92,1986,MS,17,865,10/29/1986,10/31/1986,Fall SEAMAP Groundfish Survey,0
93,1986,LA,25,865,11/5/1986,11/6/1986,Fall SEAMAP Groundfish Survey,0
94,1986,FL,36,864,11/15/1986,11/21/1986,Winter SEAMAP Plankton Survey,0
95,1986,TX,33,862,11/17/1986,11/17/1986,Fall SEAMAP Groundfish Survey,0
96,1986,TX,32,862,11/17/1986,11/17/1986,Fall SEAMAP Groundfish Survey,0
97,1986,TX,31,862,11/17/1986,11/17/1986,Fall SEAMAP Groundfish Survey,0
98,1986,TX,34,862,11/18/1986,11/20/1986,Fall SEAMAP Groundfish Survey,0
99,1986,LA,35,866,12/1/1986,12/4/1986,Winter SEAMAP Trawl Survey,0
100,1987,MS,17,871,4/9/1987,4/18/1987,SEAMAP Butterfish Survey,0
101,1987,LA,35,871,4/14/1987,5/20/1987,Spring SEAMAP Trawl Survey,0
102,1987,US,4,166,4/15/1987,5/22/1987,Spring SEAMAP Plankton Survey,0
103,1987,FL,36,873,5/1/1987,5/9/1987,Spring SEAMAP Plankton Survey,0
104,1987,TX,31,871,6/2/1987,6/16/1987,Summer SEAMAP Groundfish Survey,0
105,1987,TX,32,871,6/2/1987,6/16/1987,Summer SEAMAP Groundfish Survey,0
106,1987,TX,40,871,6/3/1987,6/16/1987,Summer SEAMAP Groundfish Survey,0
107,1987,TX,33,871,6/6/1987,6/17/1987,Summer SEAMAP Groundfish Survey,0
108,1987,TX,34,871,6/11/1987,6/16/1987,Summer SEAMAP Groundfish Survey,0
109,1987,US,4,167,6/11/1987,7/14/1987,Summer SEAMAP Groundfish Survey,0
110,1987,MS,17,872,6/11/1987,6/12/1987,Summer SEAMAP Groundfish Survey,0
111,1987,AL,23,871,6/12/1987,6/12/1987,Summer SEAMAP Groundfish Survey,0
112,1987,LA,25,873,7/6/1987,7/9/1987,Summer SEAMAP Groundfish Survey,0
113,1987,LA,35,872,7/7/1987,7/11/1987,Summer SEAMAP Groundfish Survey,0
114,1987,AL,23,872,7/10/1987,7/15/1987,Summer SEAMAP Groundfish Survey,0
115,1987,FL,36,875,9/1/1987,9/8/1987,Fall SEAMAP Plankton Survey,0
116,1987,US,4,169,9/12/1987,9/27/1987,Fall SEAMAP Plankton Survey,0
117,1987,MS,17,873,9/15/1987,9/18/1987,Fall SEAMAP Plankton Survey,0
118,1987,AL,23,873,9/16/1987,9/16/1987,Fall SEAMAP Plankton Survey,0
119,1987,LA,35,874,9/28/1987,10/1/1987,Fall SEAMAP Groundfish Survey,0
120,1987,LA,35,876,10/20/1987,10/20/1987,Fall SEAMAP Groundfish Survey,0
121,1987,US,4,171,10/23/1987,11/22/1987,Fall SEAMAP Groundfish Survey,0
122,1987,MS,17,874,10/25/1987,10/26/1987,Fall SEAMAP Groundfish Survey,0
123,1987,AL,23,874,10/26/1987,10/26/1987,Fall SEAMAP Groundfish Survey,0
124,1987,AL,23,875,10/28/1987,11/2/1987,Fall SEAMAP Groundfish Survey,0
125,1987,TX,40,872,11/1/1987,11/24/1987,Fall SEAMAP Groundfish Survey,0
126,1987,TX,31,872,11/2/1987,11/18/1987,Fall SEAMAP Groundfish Survey,0
127,1987,TX,34,872,11/3/1987,11/30/1987,Fall SEAMAP Groundfish Survey,0
128,1987,TX,33,872,11/3/1987,11/30/1987,Fall SEAMAP Groundfish Survey,0
129,1987,TX,32,872,11/3/1987,11/21/1987,Fall SEAMAP Groundfish Survey,0
130,1987,LA,25,875,11/12/1987,11/13/1987,Fall SEAMAP Groundfish Survey,0
131,1987,LA,35,877,11/30/1987,12/3/1987,Fall SEAMAP Groundfish Survey,0
132,1988,LA,35,881,3/28/1988,3/31/1988,Spring SEAMAP Trawl Survey,0
133,1988,US,4,173,4/20/1988,5/26/1988,Spring SEAMAP Plankton Survey,0
134,1988,FL,36,881,5/2/1988,5/7/1988,Spring SEAMAP Plankton Survey,0
135,1988,TX,31,881,6/2/1988,6/23/1988,Summer SEAMAP Groundfish Survey,0
136,1988,TX,40,881,6/2/1988,6/16/1988,Summer SEAMAP Groundfish Survey,0
137,1988,TX,34,881,6/3/1988,6/21/1988,Summer SEAMAP Groundfish Survey,0
138,1988,TX,32,881,6/3/1988,6/22/1988,Summer SEAMAP Groundfish Survey,0
139,1988,MS,17,881,6/11/1988,7/11/1988,Summer SEAMAP Groundfish Survey,0
140,1988,US,4,174,6/13/1988,7/14/1988,Summer SEAMAP Groundfish Survey,0
141,1988,TX,33,881,6/14/1988,6/23/1988,Summer SEAMAP Groundfish Survey,0
142,1988,AL,23,881,6/16/1988,6/17/1988,Summer SEAMAP Groundfish Survey,0
143,1988,LA,25,883,7/5/1988,7/14/1988,Summer SEAMAP Groundfish Survey,0
144,1988,LA,35,882,7/11/1988,7/14/1988,Summer SEAMAP Groundfish Survey,0
145,1988,AL,23,882,7/12/1988,7/12/1988,Summer SEAMAP Groundfish Survey,0
146,1988,US,4,176,8/25/1988,9/28/1988,Fall SEAMAP Plankton Survey,0
147,1988,FL,36,882,8/26/1988,9/2/1988,Fall SEAMAP Plankton Survey,0
148,1988,AL,23,883,9/12/1988,9/12/1988,Fall SEAMAP Plankton Survey,0
149,1988,MS,17,882,9/13/1988,9/30/1988,Fall SEAMAP Plankton Survey,0
150,1988,LA,35,884,10/3/1988,10/12/1988,Fall SEAMAP Groundfish Survey,0
151,1988,US,4,177,10/8/1988,10/8/1988,Fall SEAMAP Groundfish Survey,0
152,1988,TX,33,882,11/2/1988,11/23/1988,Fall SEAMAP Groundfish Survey,0
153,1988,TX,32,882,11/2/1988,11/23/1988,Fall SEAMAP Groundfish Survey,0
154,1988,TX,40,882,11/2/1988,11/22/1988,Fall SEAMAP Groundfish Survey,0
155,1988,LA,25,885,11/3/1988,11/14/1988,Fall SEAMAP Groundfish Survey,0
156,1988,TX,34,882,11/8/1988,11/23/1988,Fall SEAMAP Groundfish Survey,0
157,1988,MS,17,883,11/9/1988,11/12/1988,Fall SEAMAP Groundfish Survey,0
158,1988,TX,31,882,11/13/1988,12/6/1988,Fall SEAMAP Groundfish Survey,0
159,1988,LA,35,886,11/28/1988,12/15/1988,Winter SEAMAP Trawl Survey,0
160,1989,LA,35,891,3/20/1989,4/9/1989,Spring SEAMAP Trawl Survey,0
161,1989,US,49,892,4/24/1989,5/19/1989,Spring SEAMAP Plankton Survey,0
162,1989,FL,36,891,5/11/1989,5/16/1989,Spring SEAMAP Plankton Survey,0
163,1989,TX,40,891,6/2/1989,6/20/1989,Summer SEAMAP Groundfish Survey,0
164,1989,TX,33,891,6/6/1989,6/16/1989,Summer SEAMAP Groundfish Survey,0
165,1989,TX,34,891,6/6/1989,6/19/1989,Summer SEAMAP Groundfish Survey,0
166,1989,TX,32,891,6/6/1989,6/20/1989,Summer SEAMAP Groundfish Survey,0
167,1989,AL,23,891,6/7/1989,6/7/1989,Summer SEAMAP Groundfish Survey,0
168,1989,TX,31,891,6/7/1989,6/20/1989,Summer SEAMAP Groundfish Survey,0
169,1989,MS,17,891,6/9/1989,7/11/1989,Summer SEAMAP Groundfish Survey,0
170,1989,US,4,180,6/16/1989,7/16/1989,Summer SEAMAP Groundfish Suvey,0
171,1989,LA,35,892,7/10/1989,7/13/1989,Summer SEAMAP Groundfish Survey,0
172,1989,LA,25,893,7/10/1989,7/12/1989,Summer SEAMAP Groundfish Survey,0
173,1989,AL,23,892,7/11/1989,7/14/1989,Summer SEAMAP Groundfish Survey,0
174,1989,US,4,183,9/2/1989,9/29/1989,Fall SEAMAP Plankton Survey,0
175,1989,AL,23,893,9/12/1989,9/12/1989,Fall SEAMAP Plankton Survey,0
176,1989,MS,17,892,9/16/1989,9/19/1989,Fall SEAMAP Plankton Survey,0
177,1989,LA,35,894,10/2/1989,10/6/1989,Fall SEAMAP Groundfish Survey,0
178,1989,FL,36,892,10/4/1989,10/11/1989,Fall SEAMAP Plankton Survey,0
179,1989,US,4,184,10/16/1989,11/19/1989,Fall SEAMAP Groundfish Survey,0
180,1989,AL,23,894,10/25/1989,10/25/1989,Fall SEAMAP Groundfish Survey,0
181,1989,TX,33,892,11/1/1989,11/21/1989,Fall SEAMAP Groundfish Survey,0
182,1989,TX,40,892,11/7/1989,11/21/1989,Fall SEAMAP Groundfish Survey,0
183,1989,TX,32,892,11/10/1989,12/21/1989,Fall SEAMAP Groundfish Survey,0
184,1989,LA,35,896,11/11/1989,11/12/1989,SEAMAP Comparitive Tow,0
185,1989,TX,34,892,11/12/1989,11/21/1989,Fall SEAMAP Groundfish Survey,0
186,1989,LA,25,895,11/13/1989,11/20/1989,Fall SEAMAP Groundfish Survey,0
187,1989,TX,31,892,11/13/1989,11/21/1989,Fall SEAMAP Groundfish Survey,0
188,1989,MS,17,893,11/17/1989,11/20/1989,Fall SEAMAP Groundfish Survey,0
189,1989,LA,35,897,12/13/1989,12/14/1989,Winter SEAMAP Trawl Survey,0
190,1990,LA,35,901,4/11/1990,4/13/1990,Spring SEAMAP Trawl Survey,0
191,1990,US,4,187,4/20/1990,5/24/1990,Spring SEAMAP Plankton Survey,0
192,1990,FL,36,901,5/24/1990,5/30/1990,Spring SEAMAP Plankton Survey,0
193,1990,US,4,188,5/30/1990,6/5/1990,Reef Fish Survey,0
194,1990,US,28,904,5/30/1990,6/30/1990,Spring SEAMAP Plankton Survey,0
195,1990,AL,23,901,6/7/1990,6/11/1990,Summer SEAMAP Groundfish Survey,0
196,1990,MS,17,901,6/9/1990,8/7/1990,Summer SEAMAP Groundfish Survey,0
197,1990,TX,33,901,6/10/1990,6/18/1990,Summer SEAMAP Groundfish Survey,0
198,1990,TX,32,901,6/11/1990,6/18/1990,Summer SEAMAP Groundfish Survey,0
199,1990,TX,31,901,6/12/1990,6/19/1990,Summer SEAMAP Groundfish Survey,0
200,1990,TX,40,901,6/12/1990,6/18/1990,Summer SEAMAP Groundfish Survey,0
201,1990,TX,34,901,6/13/1990,6/21/1990,Summer SEAMAP Groundfish Survey,0
202,1990,US,4,189,6/14/1990,7/13/1990,Summer SEAMAP Groundfish Survey,0
203,1990,LA,25,903,7/9/1990,7/11/1990,Summer SEAMAP Groundfish Survey,0
204,1990,LA,35,902,7/9/1990,7/12/1990,Summer SEAMAP Groundfish Survey,0
205,1990,AL,23,902,7/12/1990,7/12/1990,Summer SEAMAP Groundfish Survey,0
206,1990,US,4,190,9/2/1990,9/29/1990,Fall SEAMAP Plankton Survey,0
207,1990,MS,17,902,9/7/1990,9/16/1990,Fall SEAMAP Plankton Survey,0
208,1990,AL,23,903,9/19/1990,9/19/1990,Fall SEAMAP Plankton Survey,0
209,1990,LA,35,904,10/1/1990,10/4/1990,Fall SEAMAP Groundfish Survey,0
210,1990,US,4,191,10/12/1990,11/18/1990,Fall SEAMAP Groundfish Survey,0
211,1990,FL,36,902,10/13/1990,10/18/1990,Fall SEAMAP Plankton Survey,0
212,1990,TX,33,902,11/1/1990,11/16/1990,Fall SEAMAP Groundfish Survey,0
213,1990,TX,32,902,11/1/1990,11/16/1990,Fall SEAMAP Groundfish Survey,0
214,1990,TX,40,902,11/1/1990,11/16/1990,Fall SEAMAP Groundfish Survey,0
215,1990,TX,34,902,11/6/1990,11/19/1990,Fall SEAMAP Groundfish Survey,0
216,1990,LA,25,905,11/7/1990,11/14/1990,Fall SEAMAP Groundfish Survey,0
217,1990,TX,31,902,11/12/1990,11/28/1990,Fall SEAMAP Groundfish Survey,0
218,1990,AL,23,904,11/13/1990,11/15/1990,Fall SEAMAP Groundfish Survey,0
219,1990,MS,17,903,11/15/1990,11/18/1990,Fall SEAMAP Groundfish Survey,0
220,1990,LA,35,906,11/26/1990,12/7/1990,Winter SEAMAP Trawl Survey,0
221,1991,LA,35,911,3/25/1991,4/4/1991,Spring SEAMAP Trawl Survey,0
222,1991,US,4,194,4/17/1991,5/22/1991,Spring SEAMAP Plankton Survey,0
223,1991,FL,36,911,5/7/1991,5/9/1991,Spring SEAMAP Plankton Survey,0
224,1991,TX,40,911,6/3/1991,6/18/1991,Summer SEAMAP Groundfish Survey,0
225,1991,AL,23,911,6/3/1991,6/5/1991,Summer SEAMAP Groundfish Survey,0
226,1991,TX,32,911,6/4/1991,6/20/1991,Summer SEAMAP Groundfish Survey,0
227,1991,TX,34,911,6/5/1991,6/18/1991,Summer SEAMAP Groundfish Survey,0
228,1991,TX,33,911,6/5/1991,6/18/1991,Summer SEAMAP Groundfish Survey,0
229,1991,US,4,195,6/11/1991,7/13/1991,Summer SEAMAP Groundfish Survey,0
230,1991,TX,31,911,6/11/1991,6/18/1991,Summer SEAMAP Groundfish Survey,0
231,1991,MS,17,911,6/14/1991,7/11/1991,Summer SEAMAP Groundfish Survey,0
232,1991,LA,35,912,7/8/1991,7/12/1991,Summer SEAMAP Groundfish Survey,0
233,1991,LA,25,913,7/9/1991,7/10/1991,Summer SEAMAP Groundfish Survey,0
234,1991,FL,36,912,8/21/1991,8/25/1991,Fall SEAMAP Plankton Survey,0
235,1991,US,28,914,8/23/1991,9/26/1991,Fall SEAMAP Plankton Survey,0
236,1991,AL,23,912,9/12/1991,9/12/1991,Fall SEAMAP Plankton Survey,0
237,1991,MS,17,912,9/14/1991,9/29/1991,Fall SEAMAP Plankton Survey,0
238,1991,LA,35,914,9/30/1991,10/4/1991,Fall SEAMAP Groundfish Survey,0
239,1991,US,4,197,10/11/1991,11/18/1991,Fall SEAMAP Groundfish Survey,0
240,1991,AL,23,913,10/17/1991,10/17/1991,Fall SEAMAP Groundfish Survey,0
241,1991,LA,25,915,11/5/1991,11/6/1991,Fall SEAMAP Groundfish Survey,0
242,1991,TX,32,912,11/6/1991,11/21/1991,Fall SEAMAP Groundfish Survey,0
243,1991,TX,33,912,11/7/1991,11/22/1991,Fall SEAMAP Groundfish Survey,0
244,1991,TX,31,912,11/10/1991,11/21/1991,Fall SEAMAP Groundfish Survey,0
245,1991,TX,34,912,11/11/1991,11/18/1991,Fall SEAMAP Groundfish Survey,0
246,1991,TX,40,912,11/13/1991,11/22/1991,Fall SEAMAP Groundfish Survey,0
247,1991,MS,17,913,11/14/1991,11/16/1991,Fall SEAMAP Groundfish Survey,0
248,1991,LA,35,916,12/2/1991,12/6/1991,Winter SEAMAP Trawl Survey,0
249,1992,LA,35,921,3/9/1992,3/13/1992,Spring SEAMAP Trawl Survey,0
250,1992,US,4,199,4/22/1992,6/7/1992,Spring SEAMAP Plankton Survey,0
251,1992,US,28,922,4/30/1992,5/13/1992,Spring Plankton NEO-Mississippi River Survey,0
252,1992,MS,17,921,5/12/1992,5/14/1992,SEAMAP Trap Video Survey,0
253,1992,FL,26,921,5/17/1992,5/21/1992,Spring SEAMAP Plankton Survey,0
254,1992,TX,31,921,6/3/1992,6/18/1992,Summer SEAMAP Groundfish Survey,0
255,1992,TX,32,921,6/3/1992,6/22/1992,Summer SEAMAP Groundfish Survey,0
256,1992,AL,23,921,6/4/1992,6/12/1992,Summer SEAMAP Groundfish Survey,0
257,1992,TX,34,921,6/4/1992,6/23/1992,Summer SEAMAP Groundfish Survey,0
258,1992,TX,33,921,6/8/1992,6/23/1992,Summer SEAMAP Groundfish Survey,0
259,1992,TX,40,921,6/9/1992,6/21/1992,Summer SEAMAP Groundfish Survey,0
260,1992,MS,17,922,6/11/1992,7/13/1992,Summer SEAMAP Groundfish Survey,0
261,1992,US,4,200,6/12/1992,7/13/1992,Summer SEAMAP Groundfish Survey,0
262,1992,LA,35,922,7/6/1992,7/9/1992,Summer SEAMAP Groundfish Survey,0
263,1992,AL,23,920,7/8/1992,9/10/1992,SEAMAP Trap Video Survey,0
264,1992,US,28,925,8/30/1992,9/20/1992,Fall SEAMAP Plankton Survey,0
265,1992,AL,23,922,9/22/1992,9/22/1992,Fall SEAMAP Plankton Survey,0
266,1992,US,4,201,9/24/1992,9/29/1992,Fall SEAMAP Plankton Survey,0
267,1992,LA,35,923,9/28/1992,10/1/1992,Fall SEAMAP Groundfish Survey,0
268,1992,US,17,923,9/29/1992,9/29/1992,Fall SEAMAP Plankton Survey,0
269,1992,FL,26,922,10/12/1992,10/19/1992,Fall SEAMAP Plankton Survey,0
270,1992,US,4,202,10/14/1992,11/19/1992,Fall SEAMAP Groundfish Survey,0
271,1992,AL,23,923,10/28/1992,10/28/1992,Fall SEAMAP Groundfish Survey,0
272,1992,TX,34,922,11/2/1992,11/17/1992,Fall SEAMAP Groundfish Survey,0
273,1992,TX,31,922,11/2/1992,11/16/1992,Fall SEAMAP Groundfish Survey,0
274,1992,TX,32,922,11/12/1992,11/16/1992,Fall SEAMAP Groundfish Survey,0
275,1992,TX,40,922,11/12/1992,11/16/1992,Fall SEAMAP Groundfish Survey,0
276,1992,MS,17,924,11/15/1992,11/17/1992,Fall SEAMAP Groundfish Survey,0
277,1992,TX,33,922,11/15/1992,11/23/1992,Fall SEAMAP Groundfish Survey,0
278,1992,LA,35,924,12/7/1992,12/11/1992,Winter SEAMAP Trawl Survey,0
279,1993,US,4,203,1/6/1993,2/12/1993,Winter SEAMAP Plankton Survey,0
280,1993,LA,35,931,3/22/1993,3/26/1993,Spring SEAMAP Trawl Survey,0
281,1993,US,28,934,4/26/1993,5/14/1993,Spring SEAMAP Plankton Survey,0
282,1993,US,4,204,5/6/1993,6/15/1993,Spring SEAMAP Plankton Survey,0
283,1993,FL,30,931,5/12/1993,5/15/1993,Spring SEAMAP Plankton Survey,0
284,1993,MS,17,931,5/19/1993,5/20/1993,SEAMAP Trap Video Survey,0
285,1993,US,28,935,5/23/1993,7/1/1993,Spring SEAMAP Plankton Survey,0
286,1993,TX,32,931,6/1/1993,6/16/1993,Summer SEAMAP Groundfish Survey,0
287,1993,TX,34,931,6/2/1993,6/16/1993,Summer SEAMAP Groundfish Survey,0
288,1993,AL,23,931,6/3/1993,6/11/1993,Summer SEAMAP Groundfish Survey,0
289,1993,MS,17,932,6/11/1993,7/8/1993,Summer SEAMAP Groundfish Survey,0
290,1993,TX,33,931,6/12/1993,6/16/1993,Summer SEAMAP Groundfish Survey,0
291,1993,TX,40,931,6/13/1993,6/16/1993,Summer SEAMAP Groundfish Survey,0
292,1993,TX,31,931,6/14/1993,6/28/1993,Summer SEAMAP Groundfish Survey,0
293,1993,US,4,205,6/19/1993,6/19/1993,Summer SEAMAP Groundfish Survey,0
294,1993,LA,35,932,7/5/1993,7/8/1993,Summer SEAMAP Groundfish Survey,0
295,1993,AL,23,934,7/29/1993,11/30/1993,SEAMAP Trap Video Survey,0
296,1993,AL,23,930,8/24/1993,9/29/1993,SEAMAP Comparitve Tow,0
297,1993,MS,17,930,8/24/1993,9/29/1993,SEAMAP Comparitve Tow,0
298,1993,US,28,936,8/30/1993,9/29/1993,Fall SEAMAP Plankton Survey,0
299,1993,MS,17,933,9/9/1993,9/11/1993,Fall SEAMAP Plankton Survey,0
300,1993,MS,17,934,9/19/1993,9/21/1993,Fall SEAMAP Plankton Survey,0
301,1993,AL,23,932,9/21/1993,9/21/1993,Fall SEAMAP Plankton Survey,0
302,1993,LA,35,933,10/4/1993,10/7/1993,Fall SEAMAP Groundfish Survey,0
303,1993,US,4,207,10/5/1993,10/6/1993,Fall SEAMAP Plankton Survey,0
304,1993,FL,26,932,10/11/1993,10/18/1993,Fall SEAMAP Plankton Survey,0
305,1993,US,4,208,10/15/1993,11/18/1993,Fall SEAMAP Groundfish Survey,0
306,1993,AL,23,933,10/25/1993,10/27/1993,Fall SEAMAP Groundfish Survey,0
307,1993,MS,17,935,10/28/1993,11/3/1993,Fall SEAMAP Groundfish Survey,0
308,1993,TX,32,932,11/1/1993,11/19/1993,Fall SEAMAP Groundfish Survey,0
309,1993,TX,33,932,11/3/1993,11/18/1993,Fall SEAMAP Groundfish Survey,0
